bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-000103_acq-headmotion1_T1w	0.29998832217292865	4.634775779921782	0.5783978873789958	18125.471825593442	4.966116666666667	4.62662	5.13781	5.13392	0.1884363605573578	0.4550933567425859	0.3564702827000563	0.5020876526832581	0.21819016933441165	0.0	0.01473139290033519	27.85490507246054	12.71946884513279	18.369008398716304	192	256	256	2.507576922057149	14.274525677007261	14.460071366886444	26.59811150159492	27.277601651998165	70.17409312817323	65.45167329341966	98.90332510008759	1.0	1.0	1.0	19.690987326775453	0.0	3.7556950367024418	0.0	2908237.0	0.0	15.634276360273361	6.624226185482745	0.5240824752128685	96.43418159088768	276.04523831179904	275.809744566679	35741.0	87.7696400731802	463.7179142385721	109.98900319401677	-0.06987479460192914	50.80888167998595	710.1168418340967	709.5454705953598	65049.0	630.0877242833376	791.3318665087222	49.70673160696581	0.43725000825224436	36.33397409839226	1001.098426700208	1000.032964065671	217518.0	941.5858380943537	1063.8894177228212	37.59780709494918	0.15765389783912714	0.48432507874450575	0.524611087165043	0.6116580647228713
sub-000103_acq-headmotion2_T1w	0.37907333700006884	3.5674194658318985	0.5916025000099397	10699.180304709142	4.822003333333334	4.4645	4.9274	5.07411	0.1778190875996892	0.43029318136424005	0.3918877310360708	0.6253617405891418	0.31810105443000786	0.0	0.006999809483396011	29.78057278952069	13.060389330642435	16.267843779415866	192	256	256	2.6265370342260193	13.470465971096594	11.212692197298006	17.54107358657141	12.800860103166265	31.05659594287112	29.064500623710384	43.33604582509376	1.0	1.0	1.0	10.255335571572905	0.0	8.748309709770746	0.0	2872900.0	0.0	39.66589508205652	15.11814270157466	5.1767028073275565	102.72436460274379	299.3508118338001	295.3968513160944	33169.0	118.35007879585028	488.7809683784842	112.46458531812885	0.04671094276750143	53.35338745697473	717.1191512780634	716.6722064130008	38494.0	630.9379433877766	804.5903014170005	53.20253204367916	0.7626574719648125	54.06258381376479	1005.5644282200883	1000.0368242487311	226444.0	922.140071105212	1107.3702342249453	57.01102678681665	0.1583934168982972	0.4688079577820148	0.5171170401931836	0.5352845016051838
sub-000103_acq-standard_T1w	0.28000321525705	4.935162043862409	0.5688747519948114	-1.0	4.9298166666666665	4.61245	5.08884	5.08816	0.1849371050573116	0.4655170737754046	0.34954582116728383	0.4659106731414795	0.20976018309593197	0.0	0.015032443571602015	28.088982136596155	12.579698337665233	18.91350023907083	192	256	256	2.59445541424182	14.33205359888568	15.503022550829819	29.58255863936196	42.03462723510975	109.82911954531833	102.56639632292952	155.8354421883605	1.0	1.0	1.0	18.745111418561475	0.0	2.1965313854476034	0.0	2908633.0	0.0	8.452088132500648	4.204164523275761	0.8091898900296908	84.12340525327743	268.57570317036425	269.7460995465517	32834.0	90.98443554416299	450.64699360728264	103.96863646580907	-0.03237014114319381	50.17290856041315	705.058927278789	704.7993181496859	73312.0	625.356241710484	785.4692577693611	49.17610071873019	0.4186653706410759	32.49339383050958	1000.4089212825022	1000.0327222198248	212792.0	945.4545097053051	1056.0196160897613	33.804728813996526	0.16246299105180467	0.4912162988941645	0.5249738444344114	0.6119330206573205
sub-000148_acq-headmotion1_T1w	0.39761353635182095	3.392047565113731	0.5839145659159409	5189.463507728894	4.835816666666666	4.6108	4.8757	5.02095	0.19134292485316345	0.4096690555541379	0.39898801959269864	0.5972567796707153	0.2489562898874283	3.0772544735586907e-06	0.006950889411550523	33.641230502972256	15.783591416204352	18.634361042905432	192	256	256	2.692155896983516	12.817795312025117	10.658197021471201	16.46463985540497	23.382127234576675	54.17708928715911	51.20023877091339	76.04149979100438	1.0	1.0	1.0	7.458404050425944	8.616080334358367	13.37286384707636	5.811457872390747	2080629.0	0.0	56.1994391977787	20.177113246391887	0.013227193544409044	111.91113434285924	307.21245207247415	307.5119725316763	29897.0	113.08568705320359	496.78719307780256	114.22326247025289	0.04197368314850447	55.29467464578281	713.6112542236798	712.5144528374076	20722.0	623.6470258779824	806.6353056348861	55.58656875566186	0.3798627384030411	59.03973229111472	1005.2294610327475	1000.0660487562418	190325.0	914.5781826674938	1113.323437973857	60.740072681621875	0.14284057194674127	0.4612103970579904	0.5063389763253935	0.5610517303421955
sub-000148_acq-headmotion2_T1w	0.36388641490149515	3.7889758677396337	0.5816545644583513	10589.201553254437	4.895776666666666	4.69164	4.93218	5.06351	0.19576578601427777	0.4187112664703496	0.38552294751537264	0.5194876790046692	0.2063572525978088	3.6603645901686176e-05	0.0071170084516638124	32.78999169554886	15.664427872607998	19.45993531600018	192	256	256	2.707528782049502	13.438678888291554	11.72904851586452	19.040937877252503	27.791793550020405	66.34679829062469	62.42155252019605	93.12606571994307	1.0	1.0	1.0	9.549647640359167	7.035383617630464	8.849492886625677	4.745294138789177	2046734.0	0.0	36.83102470636368	13.831815291613152	0.03963063957204005	103.29434092905124	300.54176434296977	298.4507181197405	31381.0	109.51887466013432	489.67664417624474	110.22817736348362	0.015778920910217042	53.44096032729895	713.9142182980235	712.4854881763458	23543.0	628.2015220820904	801.546174198389	53.0163985879791	0.3548772984427777	51.20454699189324	1003.4328176308604	1000.0628833025694	191263.0	923.2582549899817	1095.0944692343473	52.521586666595326	0.1390885880088022	0.46518862643465625	0.509816621559936	0.5905177212840972
sub-000148_acq-standard_T1w	0.3074342407927084	4.503132368158713	0.5538144703391479	-1.0	4.9484	4.75728	5.02773	5.06019	0.2101277077043069	0.44327925527721185	0.34659303701848126	0.42255380749702454	0.14243692457675938	3.987575732123146e-05	0.013319975429647054	30.339037591359467	15.139847134998297	22.138923344522322	192	256	256	2.623261928207596	13.484330553155942	15.524441243445173	30.46573124897198	43.9573335562709	112.00229124296072	104.0012339094181	156.04407692902274	1.0	1.0	1.0	14.125005216780188	0.0	2.164023226281931	0.0	2162377.0	0.0	10.944405823946	4.198405994203024	0.31845440202833597	96.28734276479454	288.75750602818835	281.69818177074194	33352.0	106.43284328542653	479.9603026583791	107.38308500660227	-0.19829347056610303	55.855574298281276	717.5626780219936	717.7605929374695	46536.0	630.8593046609312	803.0608108565211	53.22866257106895	0.6477102112198971	30.91447787378936	1000.5100759570295	999.9999815896153	178654.0	947.4127129465342	1054.6318095624447	32.82367243076154	0.13897636123048246	0.48563258601169723	0.5137083698739168	0.6367674369627233
sub-000149_acq-headmotion1_T1w	0.39699371760252056	3.4474336442636644	0.5532711661726964	9325.782950476025	5.084156666666668	4.88759	5.00961	5.35527	0.213801751650279	0.37704213314754054	0.4091561152021805	0.6278461813926697	0.27363433241844176	0.0011962486208364612	0.0054252888005671285	26.635922754188623	14.439759092264122	16.216520785756412	192	256	256	2.5815098251189865	13.237611415537637	10.956559906497317	17.050558478835324	9.25993511707024	25.088452728628997	23.108786655203186	34.97797211991032	1.0	1.0	1.0	9.552548515448333	0.0	10.892415244745715	0.0	3431403.0	0.0	51.69866792857647	18.73061333001995	0.4562005643201128	93.40429143418267	272.13306072246	264.74527157843113	49787.0	109.30575504899025	454.3883519992231	102.55340119565994	-0.0423476014950932	55.156405465223465	717.3107731542577	717.2889601439238	14052.0	629.1281320340931	805.0375729613006	54.18375071680608	0.4467533217469861	57.09171793768744	1005.5680113689388	1000.034299492836	238784.0	919.5149123668671	1110.5423491448164	58.65099414294899	0.1545522840525776	0.43014174798866606	0.5094215617453437	0.5066657384524348
sub-000149_acq-headmotion2_T1w	0.4517668471029102	3.044720772605064	0.5604572846178455	8121.000140762935	4.92469	4.61072	5.00673	5.15662	0.21210121529889228	0.374162578400722	0.41373620630038577	0.7001952230930328	0.3367652654647828	0.0009538664239845332	0.006016814979590295	26.936975233498874	14.401584854901678	15.827480369986594	192	256	256	2.439105443221423	11.542657430480514	9.557552747483495	14.690895368748548	19.182310570638762	50.48702406647746	46.80977598149794	70.75999330737758	1.0	1.0	1.0	12.29493018389067	9.259239297401042	11.963558438279781	6.245262000709772	3382055.0	0.0	53.28327579796314	20.012233209141733	-0.0598796241637638	109.66578797904471	277.63664676242337	271.1093504354358	48493.0	99.15165671184658	470.1996390707791	111.14999387552282	0.017724777088506283	62.43296323941223	713.7111675742442	713.5482584163547	12474.0	611.7829776071012	813.7738835936411	61.815891246814445	0.3181626948571239	67.0090612736769	1007.2302127390877	1000.0722150616348	233166.0	908.8119703345001	1129.8870252035558	68.07414016690318	0.1528756096301864	0.42533084478712796	0.504442089852376	0.4848267413370669
sub-000149_acq-standard_T1w	0.31695270217869936	4.2793800531162525	0.5182102725125461	-1.0	5.03472	4.8985	4.99157	5.21409	0.24314522864653532	0.40743163715425956	0.3494231341992051	0.431474044919014	0.14974507689476013	0.0	0.01678499059460517	23.42039256713558	13.84038198877225	19.490538777685824	192	256	256	2.4565724853247763	14.293805487367681	16.64734341597246	33.19165227522493	45.32906116050007	139.37539256902264	124.13237321346735	187.69266591087936	1.0	1.0	1.0	17.106636895784693	0.0	1.8702321343320107	0.0	3502973.0	0.0	6.926379419863224	3.4905833660330017	0.8715241000934175	88.77398021031449	251.3124532711418	241.51438827812672	55156.0	119.05694036744535	441.5331822037697	98.3126695163609	-0.016455151640267562	52.55345282275095	740.0385166386316	742.5956288427114	32790.0	651.6892495382577	820.7775283079594	51.95147687612216	0.34283542736506467	29.04147481363337	999.7870687295265	1000.0312874615192	216376.0	949.8228719383478	1048.7353309839964	30.12893025939152	0.15663155847943397	0.46606786926748334	0.523434594113414	0.5858979067205289
sub-000159_acq-headmotion1_T1w	0.31893978427007846	4.23217825137766	0.5483640615889978	16331.86319931843	5.1773	4.90992	5.38254	5.23944	0.18743294402550426	0.4334832452189294	0.37908381075556635	0.5290800333023071	0.2218482688069343	6.422489447367398e-05	0.008853957728227071	29.40124911231194	13.54048097307524	17.764226092868004	192	256	256	2.0271429256054985	14.665947622817255	13.07340304915536	22.527118599043327	14.69388619036133	37.21286870757675	34.63276291255408	51.99153383972415	1.0	1.0	1.0	22.39086841060784	0.0	6.364507404134895	0.0	3091728.0	0.0	31.21127014607191	12.60123897485985	-0.3365739948060358	165.31918338147034	288.3658372906004	282.6299551576376	35347.0	70.22698851153255	509.6992835432289	139.42083393592733	-0.014765372187020898	49.65861401952912	714.8371965601445	715.7719392850995	41904.0	633.9165512222796	792.7401707842946	48.80444257857835	0.9292490616903923	41.0034125497183	1002.5171029364585	1000.0325773134828	219180.0	934.1529893353581	1078.6641053408384	44.39228619540335	0.13385610231092507	0.46978045016655595	0.5065066595631067	0.5850935943671647
